fid,terrain,,,,,,,,,,relevant dictionary,actual dict terms,logic,,,,,,,,
0,"['sg', 'FG', 't', '-', 'FI']",sg,FG,t,-,FI,,,,,,,,,,,,,,,
,,,glaciofluvial,,,,,,,,surficial_material_terms, 'FG': 'Glaciofluvial Material',"find first cluster of uppercase letters, look up surficial material",,,,,,,,
,,,,terrace,,,,,,,surface_expression_terms, 't': 'terrace(s)',"go to following group of lowercase letters, look up surface expression",,,,,,,,
,,composed of sandy gravel,,,,,,,,,textural_terms," 's': 'Sand', 'g': 'Gravel'","(if they exist) go to preceding group of lowercase letters, look up texture, prefaced by ""composed of """,,,,,,,,
,,,,,modified by,,,,,,geomorphological_process_terms,F': 'Slow mass movements',"(if they exist) go to group of uppercase letters followed by '-', look up geomorphological processes preceded by ""modified by """,,,,,,,,
,,,,,,downslope failures that are no longer active,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
p.52,"['z', 'LG', 't', '-', 'F']",z,LG,t,-,F,,,,,,,,,,,,,,,
,,,scarp of glaciolacustrine ,,,,,,,,surficial_material_terms," 'LG': 'Glaciolacustrine Material',",,,,,,,,,
,,,,terrace,,,,,,,surface_expression_terms, 't': 'terrace(s)',,,,,,,,,
,,,,,with several small slumps(???),,,,,,textural_terms, 'z': silt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
p. 52,"(just says ""earthflow"")",dm,C,hr,-,F,,,,,,,,,,,,,,,
,how dict would parse,,Colluvium,,,,,,,,,,,,,,,,,,
,,,,"hummock(s), ridge(s)",,,,,,,,,,,,,,,,,
,,"mixed fragments, mud",,,,,,,,,,,,,,,,,,,
,,,,,,slow mass movements,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
p.52,"""tension cracks indicating",,R,st,-,F,,,,,,,,,,,,,,,
,"incipient failure of bedrock""",,Bedrock,,,,,,,,,,,,,,,,,,
,,,,"steep slope, terrace",,,,,,,,,,,,,,,,,
,,,,,,slow mass movements,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,"['R', 'sh', '/', 'C', 'v', '-', 'A']",R,sh,/,C,v,-,A,,,,,,,,,,,,,
,,Bedrock,,,,,,,,,,,,,,,,,,,
,,,"steep slope, hummocky",,,,,,,,,,,,,,,,,,
,,,,and,,,,,,,,,,,,,,,,,
,,,,,colluvium,,,,,,,,,,,,,,,,
,,,,,,veneer,,,,,,,,,,,,,,,
,,,,,,,,snow avalanches,,,,,,,,,,,,,
,,,,; more Bedrock than Snow Avalanches,,,,,,,,,,,,,,,,,
2,"['L', 'p']",L,p,,,,,,,,,,,,,,,,,,
,,lacustrine material,,,,,,,,,,,,,,,,,,,
,,,plain,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3,"['C', 'v', '=', 'M', 'b']",C,v,=,M,b,,,,,,,,,,,,,,,
,,Colluvium ,,,,,,,,,,,,,,,,,,,
,,,Veneer,,,,,,,,,,,,,,,,,,
,,,,,Morainal Material,,,,,,,,,,,,,,,,
,,,,,,Blanket,,,,,,,,,,,,,,,
,,,,roughly equal amount of both,,,,,,,,,,,,,,,,,
4,"['C', 'v', '/', 'R', 'h']",C,v,/,R,h,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
5,"['M', 'v', '=', 'C', 'v', '-', 'V']",M,v,=,C,v,-,V,,,,,,,,,,,,,
,,Morainal ,,,,,,,,,,,,,,,,,,,
,,,veneer,,,,,,,,,,,,,,,,,,
,,,,,Coluvium,,,,,,,,,,,,,,,,
,,,,,,veneer,,,,,,,,,,,,,,,
,,,,,,,Gully Erosion,,,,,,,,,,,,,,
,,,,roughly equal amount of both,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
6,"['C', 'v', '/', 'M', 'b', '-', 'A']",C,v,/,M,b,-,A,,,,,,,,,,,,,
7,"['C', 'v', '/', 'M', 'vb']",C,v,/,M,vb,,,,,,,,,,,,,,,
8,"['C', 'v', '/', 'R', 's', '-', 'VA']",C,v,/,R,s,-,VA,,,,,,,,,,,,,
9,"['C', 'v', '/', 'R', 'k']",C,v,/,R,k,,,,,,,,,,,,,,,
10,"['C', 'v', '/', 'R', 's', '-', 'A']",C,v,/,R,s,-,A,,,,,,,,,,,,,
11,"['C', 'a']",C,a,,,,,,,,,,,,,,,,,,
12,"['C', 'c']",C,c,,,,,,,,,,,,,,,,,,
13,"['R', 's', '/', 'C', 'v', '-', 'VAR', 's']",R,s,/,C,v,-,VAR,s,,,,,,,,,,,,
14,"['C', 'v', '/', 'R', 'k', '-', 'AV']",C,v,/,R,k,-,AV,,,,,,,,,,,,,
15,"['C', 'v']",C,v,,,,,,,,,,,,,,,,,,
16,"['R', 's', '/', 'C', 'v', '-', 'A']",R,s,/,C,v,-,A,,,,,,,,,,,,,
17,"['C', 'v', '-', 'A']",C,v,-,A,,,,,,,,,,,,,,,,
18,"['R', 's']",R,s,,,,,,,,,,,,,,,,,,
19,"['a', 'C', 'k', '-', 'R', 'b', 'A']",a,C,k,-,R,b,A,,,,,,,,,,,,,
20,"['C', 'h']",C,h,,,,,,,,,,,,,,,,,,
21,"['R', 'hk', '/', 'C', 'w']",R,hk,/,C,w,,,,,,,,,,,,,,,
22,"['L', 'p']",L,p,,,,,,,,,,,,,,,,,,
23,"['a', 'C', 'k', '/', 'R', 's', '-', 'A']",a,C,k,/,R,s,-,A,,,,,,,,,,,,
24,"['R', 's', '-', 'A']",R,s,-,A,,,,,,,,,,,,,,,,
25,"['C', 'v', '/', 'R', 'v']",C,v,/,R,v,,,,,,,,,,,,,,,
26,"['a', 'C', 'k', '-', 'R', 'b', 'A']",a,C,k,-,R,b,A,,,,,,,,,,,,,
