fid,terrain,,,,
1,Rsh/Cv-A,,,,
2,Lp,,,,
3,Cv=Mb,,,,
4,Cv/Rh,,,,
5,Mv=Cv-V,,,,
6,Cv/Mb-A,,,,
7,Cv/Mvb,,,,
8,Cv/Rs-VA,,,,
9,Cv/Rk,,,,
10,Cv/Rs-A,,,,
11,Ca,,,,
12,Cc,,,,
13,Rs/Cv-VARs,,,,
14,Cv/Rk-AV,,,,
15,Cv,,,,
16,Rs/Cv-A,,,,
17,Cv-A,,,,
18,Rs,,,,
19,aCk-RbA,,,,
20,Ch,,,,
21,Rhk/Cw,,,,
22,Lp,,,,
23,aCk/Rs-A,,,,
24,Rs-A,,,,
25,Cv/Rv,,,,
26,aCk-RbA,,,,
27,Cv-A,,,,
28,Mbv,,,,
29,Cv/Rs,,,,
30,Fpj,,,,
31,Cv/Rs,,,,
32,Rsh/aCv,,,,
33,Rs-VA,,,,
34,aCcRb-A,,,,
35,Fpu,,,,
36,aCv/Rh-RbA,,,,
37,Mbv/Cv,,,,
38,Cf,,,,
39,Cv-A,,,,
40,Lp,,,,
41,/aCw/Rhk,,,,
42,FGt=Us/Fp,,,,
43,Cca,,,,
44,Rs,,,,
45,Rs-V,,,,
46,aCck-RbA,,,,
47,Rs/aCk,,,,
48,Cv=Rs,,,,
49,/Cw/Rh,,,,
50,Cv=Rs-R,,,,
51,Cv=Mv/Rs,,,,
52,Mv=Cv,,,,
53,Cv/Rs-V,,,,
54,Rs-VA,,,,
55,$sMb/Cca-A,,,,
56,Fp,,,,
57,Ff,,,,
58,Cv=Rs/Mb-A,,,,
59,Ff,,,,
60,Cv=Mv/Rs,,,,
61,Mb,,,,
62,Cv/Rs-AV,,,,
63,Rs,,,,
64,Cv=Rk,,,,
65,/Cw/Rah,,,,
66,Rs,,,,
67,Rs=Cv,,,,
68,Cv=Rs-A,,,,
69,arCv/Rs-VR,,,,
70,aCck-RbA,,,,
71,aCu=Rs-RbA,,,,
72,Cv-A,,,,
73,Cv/Rs-A,,,,
74,Mb/Cv,,,,
75,Fj,,,,
76,Cv,,,,
77,aCk-ARbAs,,,,
78,Cv/Mvb,,,,
79,Cv/Rs,,,,
80,Cv=Mv-AR,,,,
81,Mv=Cv-V,,,,
82,Mbv,,,,
83,FGt=Us-V,,,,
84,Fpt,,,,
85,Cv/Mv,,,,
86,Cv=Mv,,,,
87,Ff,,,,
88,Mbv,,,,
89,Rs-AVR,,,,
90,Ck/Rs,,,,
91,Cv/Rs-AR,,,,
92,Mbv/rCv,,,,
93,Mv/Cv,,,,
94,Cv/Rs-A,,,,
95,Rs/Cv-A,,,,
96,Cv=Rs-A,,,,
97,Rsk-RA,,,,
98,Rs-RA,,,,
99,Cck-ARbA,,,,
100,Mbv/Cv,,,,
101,Mbv,,,,
102,Rs-VR,,,,
103,Rs=Cv-A,,,,
104,Cv-A,,,,
105,Mbv-V,,,,
106,Cf-A,,,,
107,Chf-AR,,,,
108,Cck-A,,,,
109,Cvc/Rk-A,,,,
110,Rs/Cv,,,,
111,Rsh/Cv-N,,,,
112,Rs,,,,
113,CkRb-A,,,,
114,Rs-VR,,,,
115,Rsk,,,,
116,Cv/Rs-A,,,,
117,Cv-A,,,,
118,aCca-RbA,,,,
119,aCk/Rs-RbA,,,,
120,aCv=Rs,,,,
121,Rah/aCv,,,,
122,aCca-RAbA,,,,
123,Rs,,,,
124,Cv/Rs-A,,,,
125,Cv=Rs-AV,,,,
126,Mv=Cv,,,,
127,Rs-R,,,,
128,Rhr/arCv,,,,
129,aCa-R,,,,
130,arCv/Rs-A,,,,
131,Rsa/aCv-AR,,,,
132,Rs/rCv-A,,,,
133,arCv/Ra-A,,,,
134,rCv/Rs-AV,,,,
135,Rs/rCv-AVR,,,,
136,arCva/Ra-AR,,,,
137,aCca-AR,,,,
138,arCva-A,,,,
139,aCa-AR,,,,
140,arCb/arMb-A,,,,
141,Rs/Cv-AVR,,,,
142,arCva-AR,,,,
143,Rs/raCv-AR,,,,
144,rMv/rCv/Ra,,,,
145,rCv=rMv-R,,,,
146,aCa-R,,,,
147,aCa-R,,,,
148,aCa-AR,,,,
149,Rrs/arCv,,,,
